hub,in_degree,in_volume,out_degree,out_volume,hub_delay_ratio,hub_breach_rate,betweenness,pagerank,clustering
IND411057AAF,1.0,1.0,0.0,0.0,4.388888888888889,1.0,0.0,0.00021393994304216697,0.0
IND412105AAC,1.0,2.0,1.0,33.0,2.2857142857142856,1.0,0.0,0.0007709547496994885,0.0
IND412210AAC,1.0,1.0,1.0,2.0,1.8048780487804879,1.0,0.0,0.00020036685093087394,1.0
IND412803AAB,1.0,7.0,1.0,2.0,1.1333333333333333,0.3333333333333333,0.0004053738488258388,0.0003672923220030541,0.0
IND413002AAA,5.0,51.0,5.0,58.0,1.7714285714285714,1.0,0.004035129967745231,0.0013119276542223465,0.26666666666666666
IND413304AAA,2.0,13.0,2.0,11.0,2.0388679245283017,1.0,0.0016160223010347797,0.0007364521596430307,0.3333333333333333
IND413307AAB,1.0,4.0,1.0,3.0,2.085714285714286,1.0,0.00040318461111840854,0.0005041690441379158,1.0
IND413307AAC,1.0,1.0,1.0,1.0,2.2450021729682748,1.0,0.0,0.00013486973842227883,0.0
IND413401AAA,1.0,21.0,1.0,19.0,1.6148148148148147,1.0,0.00040318461111840854,0.0005496906395088736,1.0
IND413501AAA,2.0,22.0,2.0,22.0,1.5319148936170213,1.0,0.0004053738488258388,0.0005349604142957496,0.6666666666666666
IND413517AAA,2.0,5.0,2.0,3.0,2.8403890160183067,1.0,0.000808193586993009,0.0003601888066379922,0.6666666666666666
IND413531AAA,1.0,4.0,1.0,4.0,2.749482401656315,1.0,0.0004051914123502197,0.0002485967248150581,1.0
IND413709AAA,4.0,14.0,3.0,17.0,1.5354330708661417,0.7419354838709677,0.0008060043492855788,0.0005509139670992182,0.6
IND414001AAA,1.0,3.0,3.0,3.0,1.8195981034093474,1.0,0.0012150269276238015,0.00016232368205239319,0.6666666666666666
IND414203AAB,1.0,1.0,1.0,1.0,1.8110863332271423,1.0,0.0,0.00016163492237007175,1.0
IND414302AAB,2.0,2.0,2.0,3.0,1.8082191780821917,1.0,0.000808193586993009,0.00029902460638463614,0.5
IND414502AAA,1.0,7.0,1.0,7.0,1.8842857142857143,1.0,0.0012106484522089408,0.00041083299674643954,0.0
IND415003AAA,1.0,8.0,2.0,9.0,1.7142857142857142,0.7647058823529411,0.0008103828247004393,0.00038064571192105643,0.3333333333333333
IND415124AAA,1.0,13.0,1.0,16.0,1.1901840490797546,0.4827586206896552,0.0016171169198884948,0.0003265660053151576,0.0
IND415301AAB,1.0,6.0,1.0,4.0,1.5612244897959182,1.0,0.0004053738488258388,0.0004570892137443005,1.0
IND415408AAC,1.0,8.0,1.0,9.0,2.7444444444444445,1.0,0.00040318461111840854,0.0004955050987246435,1.0
IND415409AAB,1.0,4.0,1.0,13.0,1.7391304347826086,0.8823529411764706,0.001619306157595925,0.00024814446218814057,0.0
IND415605AAA,1.0,16.0,1.0,16.0,1.5655487804878048,0.59375,0.0016149276821810646,0.0003932243169731232,0.0
IND415612AAA,1.0,10.0,1.0,8.0,2.7821969696969697,1.0,0.0004053738488258388,0.0004468963367875143,1.0
