source_center,destination_center,volume,unique_trips,median_delay_ratio,breach_rate,median_actual_minutes,median_osrm_minutes,median_distance_km,excess_minutes,median_dwell_proxy,path_cost,x0,y0,x1,y1,is_chronic_delay
IND000000ACB,IND821115AAB,18,18,1.764427507975895,1.0,1326.5,741.5,1052.1834,10244.0,183.0,0.23570226039551587,0.04410626785380089,0.044224360942262744,0.2353486274933801,-0.01236301813792071,True
IND000000ACB,IND842001AAA,19,19,1.7777777777777777,1.0,1509.0,843.0,1178.6136,12667.0,187.0,0.22941573387056174,0.04410626785380089,0.044224360942262744,-0.1583753167836501,0.7116312969524138,True
IND000000ACT,IND000000ACB,100,100,1.3281794425087108,0.72,57.0,42.0,43.71255,2710.0,150.0,0.1,0.14674419140289924,0.24838686229322682,0.04410626785380089,0.044224360942262744,True
IND000000ACT,IND160002AAC,21,21,1.9790575916230366,1.0,383.0,196.0,237.4183,4045.0,78.0,0.2182178902359924,0.14674419140289924,0.24838686229322682,0.17930770530329396,0.06426578435833179,True
IND000000AFT,IND400072AAB,10,10,2.026315789473684,1.0,37.5,18.0,21.1386,174.0,60.5,0.31622776601683794,-0.2313823158086919,-0.31132437013230113,-0.2750750266729604,-0.3585414762504734,True
IND000000AFT,IND421302AAG,15,15,2.5238095238095237,1.0,53.0,21.0,23.830199999999998,889.0,86.0,0.2581988897471611,-0.2313823158086919,-0.31132437013230113,-0.09652734779696122,-0.25429256805432443,True
IND110035AAC,IND110037AAM,3,3,1.7647058823529411,1.0,30.0,18.0,20.907799999999998,42.0,286.0,0.5773502691896258,0.2336393893014369,-0.3858156963711346,0.1461549749756001,-0.19054999878081674,True
IND110037AAK,IND000000ACB,43,43,2.057142857142857,1.0,81.0,38.0,40.692099999999996,4293.0,159.0,0.15249857033260467,0.031607173193619664,0.235081219551338,0.04410626785380089,0.044224360942262744,True
IND110037AAM,IND000000ACB,12,12,1.558139534883721,1.0,66.5,42.5,44.0599,292.0,261.5,0.2886751345948129,0.1461549749756001,-0.19054999878081674,0.04410626785380089,0.044224360942262744,True
IND110037AAM,IND110035AAC,36,36,2.1979949874686717,0.8888888888888888,46.0,21.0,19.8427,1447.0,96.5,0.16666666666666666,0.1461549749756001,-0.19054999878081674,0.2336393893014369,-0.3858156963711346,True
IND110037AAM,IND110064AAA,2,2,5.39375,1.0,103.5,18.0,14.17905,171.0,114.0,0.7071067811865475,0.1461549749756001,-0.19054999878081674,0.15710254267464713,0.01437128011761029,True
IND110037AAM,IND121004AAB,46,46,2.17741935483871,1.0,63.5,28.0,29.22475,2000.0,61.5,0.14744195615489714,0.1461549749756001,-0.19054999878081674,0.15075981878460828,-0.06218302926241651,True
IND110037AAM,IND209304AAA,25,25,1.9748603351955307,1.0,707.0,362.0,492.04,9185.0,291.0,0.2,0.1461549749756001,-0.19054999878081674,0.26355878421243734,-0.19265559625247877,True
IND110037AAM,IND421302AAG,18,18,1.7824311318868111,1.0,1985.5,1104.0,1454.74775,16770.0,321.5,0.23570226039551587,0.1461549749756001,-0.19054999878081674,-0.09652734779696122,-0.25429256805432443,True
