source_center,destination_center,volume,unique_trips,median_delay_ratio,breach_rate,median_actual_minutes,median_osrm_minutes,median_distance_km,excess_minutes,median_dwell_proxy,path_cost,breached_legs,breached_trips,sla_breach_contribution_pct,is_chronic_delay,source_name,destination_name,corridor,corridor_score
IND713205AAB,IND712311AAA,12,12,7.698340874811463,1.0,793.0,102.5,148.62515000000002,7505.0,282.5,0.2886751345948129,12,12,0.2863144369619921,True,Durgapur_Central_I_1 (West Bengal),Kolkata_Dankuni_HB (West Bengal),IND713205AAB → IND712311AAA,0.2736589634753446
IND562132AAA,IND462022AAA,13,13,1.872300469483568,1.0,1994.0,1065.0,1484.4129,12672.0,242.0,0.2773500981126146,13,13,0.48343458296900255,True,Bangalore_Nelmngla_H (Karnataka),Bhopal_Trnsport_H (Madhya Pradesh),IND562132AAA → IND462022AAA,0.2718600154886897
IND421302AAG,IND400015AAA,49,49,2.5714285714285716,1.0,78.0,31.0,43.0608,3078.0,91.0,0.14285714285714285,49,49,0.1174251614882094,True,Bhiwandi_Mankoli_HB (Maharashtra),Mumbai_CottonGreen_DPC (Maharashtra),IND421302AAG → IND400015AAA,0.271568693307354
IND177033AAA,IND160002AAC,18,18,2.894484678293428,1.0,583.0,200.5,213.9098,6724.0,90.0,0.23570226039551587,18,18,0.25651942360192337,True,Nadaun_Ward6_D (Himachal Pradesh),Chandigarh_Mehmdpur_H (Punjab),IND177033AAA → IND160002AAC,0.27142672482523295
IND781018AAB,IND712311AAA,6,6,2.8363250446435626,1.0,2043.0,723.5,1025.17015,8986.0,387.0,0.4082482904638631,6,6,0.3428143278534925,True,Guwahati_Hub (Assam),Kolkata_Dankuni_HB (West Bengal),IND781018AAB → IND712311AAA,0.2709507553758802
IND400011AAA,IND400072AAD,53,53,2.7222222222222223,0.9811320754716981,48.0,18.0,19.723,1754.0,40.0,0.13736056394868904,52,52,0.06691479312875871,True,LowerParel_CP (Maharashtra),Mumbai_Chndivli_PC (Maharashtra),IND400011AAA → IND400072AAD,0.27045781919826933
IND395023AAA,IND110037AAM,18,18,1.736656001028649,1.0,1543.5,892.5,1181.7478999999998,12101.0,412.5,0.23570226039551587,18,18,0.46165103286836323,True,Surat_HUB (Gujarat),Delhi_Airport_H (Delhi),IND395023AAA → IND110037AAM,0.26877632425336767
IND462022AAA,IND209304AAA,25,25,1.9133489461358313,1.0,822.0,430.0,590.3931,10001.0,191.0,0.2,25,25,0.3815364002740683,True,Bhopal_Trnsport_H (Madhya Pradesh),Kanpur_Central_H_6 (Uttar Pradesh),IND462022AAA → IND209304AAA,0.2684572867374262
IND421302AAG,IND131028AAB,14,14,1.8046209088768541,1.0,1986.5,1097.5,1485.7233,12224.0,197.5,0.2672612419124244,14,14,0.4663434613488862,True,Bhiwandi_Mankoli_HB (Maharashtra),Sonipat_Kundli_H (Haryana),IND421302AAG → IND131028AAB,0.2670463897359613
IND382430AAB,IND000000ACB,17,17,1.829153605015674,1.0,1169.0,643.0,903.754,11480.0,341.0,0.24253562503633297,17,17,0.43795999151547893,True,Ahmedabad_East_H_1 (Gujarat),Gurgaon_Bilaspur_HB (Haryana),IND382430AAB → IND000000ACB,0.2661499520697757
IND134109AAA,IND160002AAC,15,15,10.0,1.0,475.0,36.0,35.230599999999995,5995.0,82.0,0.2581988897471611,15,15,0.22870820114418955,True,Chandigarh_Panchkula (Chandigarh),Chandigarh_Mehmdpur_H (Punjab),IND134109AAA → IND160002AAC,0.2657897605198344
IND712311AAA,IND700088AAA,30,30,3.5476190476190474,1.0,103.0,31.0,30.5781,3333.0,181.0,0.18257418583505536,30,30,0.1271533668746595,True,Kolkata_Dankuni_HB (West Bengal),Kolkata_TrtllaRD_L (West Bengal),IND712311AAA → IND700088AAA,0.2648653775611801
IND110037AAM,IND209304AAA,25,25,1.9748603351955307,1.0,707.0,362.0,492.04,9185.0,291.0,0.2,25,25,0.350406143037428,True,Delhi_Airport_H (Delhi),Kanpur_Central_H_6 (Uttar Pradesh),IND110037AAM → IND209304AAA,0.26442941858090585
IND000000ACB,IND121002AAB,57,57,1.90625,1.0,122.0,65.0,70.6197,4032.0,116.0,0.13245323570650439,57,57,0.15382009458104626,True,Gurgaon_Bilaspur_HB (Haryana),Faridabad_Mthurard_L (Haryana),IND000000ACB → IND121002AAB,0.2639298397811195
IND811399AAA,IND110044AAB,40,40,2.861111111111111,1.0,52.5,16.0,14.4427,2162.0,170.5,0.15811388300841897,40,40,0.08247992174707887,True,Noida_Sector02_C (Uttar Pradesh),Del_Okhla_PC (Delhi),IND811399AAA → IND110044AAB,0.26360625227002915
IND473331AAA,IND473226AAA,17,17,2.1125,1.0,169.0,81.0,77.2146,9734.0,928.0,0.24253562503633297,17,17,0.37135039698707945,True,Ashokngr_Bypassrd_D (Madhya Pradesh),Guna_Raghogrh_D (Madhya Pradesh),IND473331AAA → IND473226AAA,0.26341758088983336
IND722151AAA,IND723130AAA,8,8,10.0,1.0,1054.0,70.0,89.35215,6879.0,24.0,0.35355339059327373,8,8,0.2624326464838832,True,Simlapal_Central_D_1 (West Bengal),Hura_Central_D_1 (West Bengal),IND722151AAA → IND723130AAA,0.2634050201750249
