source_center,destination_center,route_type,time_bucket,edge_observations,unique_trips,median_delay_ratio,median_actual_minutes,median_osrm_minutes,breach_rate,excess_minutes,fallback_delay_ratio,delay_ratio_weight
IND385340AAB,IND384205AAA,FTL,morning,1,1,1.1217391304347826,129.0,115.0,0.0,14.0,1.8750586854460094,1.83918632568357
IND385340AAB,IND384205AAA,FTL,night,3,3,1.1016949152542372,130.0,118.0,0.3333333333333333,42.0,1.8226866738120757,1.728644270521923
IND385535AAA,IND384205AAA,FTL,night,17,17,2.0,156.0,78.0,1.0,1370.0,1.8226866738120757,1.9041549588173385
IND387001AAA,IND388220AAA,Carting,night,14,14,1.7713043478260868,44.0,23.5,1.0,353.0,2.125,1.9793606138107416
IND387620AAB,IND389230AAB,Carting,night,1,1,2.2903225806451615,142.0,62.0,1.0,80.0,2.125,2.132872503840246
IND388121AAA,IND388620AAB,Carting,night,11,11,1.5681818181818181,68.0,44.0,1.0,308.0,2.125,1.9274193548387097
IND388220AAA,IND388320AAA,Carting,morning,1,1,2.347826086956522,54.0,23.0,1.0,31.0,2.2,2.20703933747412
IND388220AAA,IND388320AAA,Carting,night,13,13,1.7692307692307692,46.0,24.0,1.0,359.0,2.125,1.9848484848484849
IND388320AAA,IND387001AAA,Carting,night,11,11,1.7857142857142858,26.0,14.0,1.0,195.0,2.125,2.0046082949308754
IND388320AAA,IND388121AAA,Carting,night,1,1,4.25,51.0,12.0,1.0,39.0,2.125,2.2261904761904763
IND388320AAA,IND388220AAA,Carting,night,1,1,1.8333333333333333,44.0,24.0,1.0,20.0,2.125,2.111111111111111
IND388320AAA,IND390022AAA,FTL,late_evening,6,6,2.1621621621621623,61.0,34.0,0.6666666666666666,184.0,1.8333333333333333,1.9092169092169091
IND388620AAB,IND388320AAA,Carting,morning,1,1,1.6818181818181819,74.0,44.0,1.0,30.0,2.2,2.175324675324675
IND388620AAB,IND388320AAA,Carting,night,12,12,1.889990328820116,81.5,44.0,1.0,468.0,2.125,2.0368713733075436
IND389001AAA,IND389151AAA,FTL,night,21,21,1.7346938775510203,88.0,49.0,0.7142857142857143,646.0,1.8226866738120757,1.7776171928003157
IND389151AAA,IND457661AAA,FTL,night,11,11,2.8484848484848486,92.0,32.0,1.0,638.0,1.8226866738120757,2.186679574502415
IND390018AAB,IND390020AAA,Carting,night,1,1,2.0,24.0,12.0,1.0,12.0,2.125,2.119047619047619
IND390020AAA,IND390018AAB,Carting,morning,1,1,3.3636363636363638,37.0,11.0,1.0,26.0,2.2,2.2554112554112558
IND390020AAA,IND390022AAA,Carting,morning,2,2,4.770588235294118,68.5,13.5,1.0,110.0,2.2,2.4336898395721924
IND390020AAA,IND391110AAD,Carting,night,7,7,1.9090909090909092,63.0,32.0,1.0,274.0,2.125,2.0690235690235688
IND390022AAA,IND382430AAB,FTL,late_evening,8,8,1.608695652173913,111.0,69.0,1.0,381.0,1.8333333333333333,1.769151138716356
IND390022AAA,IND388320AAA,Carting,late_evening,11,11,1.236842105263158,50.0,40.0,0.8181818181818182,143.0,1.8148148148148149,1.6097277243287431
IND390022AAA,IND388320AAA,Carting,night,7,7,1.2790697674418605,54.0,43.0,0.8571428571428571,93.0,2.125,1.9056847545219637
IND390022AAA,IND390020AAA,Carting,morning,1,1,6.8,102.0,15.0,1.0,87.0,2.2,2.419047619047619
IND390022AAA,IND390020AAA,Carting,night,2,2,3.3901515151515156,39.5,11.5,1.0,56.0,2.125,2.2400137741046833
IND390022AAA,IND395023AAA,FTL,evening,12,12,1.7370222282461372,209.0,119.5,1.0,1036.0,1.7703025992499675,1.7578224601235313
IND390022AAA,IND395023AAA,FTL,late_evening,7,7,2.0330578512396693,246.0,121.0,1.0,806.0,1.8333333333333333,1.8851137639016426
IND390022AAA,IND395023AAA,FTL,night,2,2,1.7728813559322034,211.0,119.0,1.0,184.0,1.8226866738120757,1.8181589176411783
IND391110AAD,IND390020AAA,Carting,night,4,4,3.291176470588235,105.5,32.0,1.0,317.0,2.125,2.319362745098039
IND391110AAD,IND390022AAA,Carting,night,1,1,3.7714285714285714,132.0,35.0,1.0,97.0,2.125,2.2034013605442175
IND395001AAA,IND395023AAD,Carting,morning,1,1,4.071428571428571,57.0,14.0,1.0,43.0,2.2,2.2891156462585034
IND395001AAA,IND395023AAD,Carting,night,13,13,10.0,144.0,14.0,1.0,1656.0,2.125,5.2272727272727275
IND395004AAB,IND395023AAD,Carting,morning,2,2,4.322058823529412,80.0,18.5,1.0,123.0,2.2,2.3929144385026735
IND395004AAB,IND395023AAD,Carting,night,2,2,9.205882352941178,151.0,16.0,1.0,270.0,2.125,2.7687165775401072
IND395006AAA,IND395023AAD,Carting,morning,1,1,10.0,770.0,11.0,1.0,759.0,2.2,2.5714285714285716
IND395006AAA,IND395023AAD,Carting,night,2,2,8.304166666666667,128.0,15.5,1.0,225.0,2.125,2.6867424242424245
IND395009AAA,IND395023AAD,Carting,morning,1,1,3.1052631578947367,59.0,19.0,1.0,40.0,2.2,2.243107769423559
IND395009AAA,IND395023AAD,Carting,night,15,15,9.666666666666666,159.0,17.0,1.0,2150.0,2.125,5.357142857142857
IND395010AAB,IND395023AAA,Carting,morning,1,1,1.4375,23.0,16.0,1.0,7.0,2.2,2.1636904761904763
IND395023AAA,IND110037AAM,FTL,afternoon,18,18,1.736656001028649,1543.5,892.5,1.0,12101.0,1.7676767676767677,1.7529827203171324
IND395023AAA,IND382430AAB,FTL,morning,14,14,1.7023300773300774,340.0,198.5,1.0,1993.0,1.8750586854460094,1.8039351409276845
IND395023AAA,IND382430AAB,FTL,night,7,7,1.638743455497382,322.0,192.0,1.0,1022.0,1.8226866738120757,1.7749976912860441
IND395023AAA,IND390022AAA,FTL,afternoon,8,8,1.7437841530054645,213.5,124.5,1.0,834.0,1.7676767676767677,1.76085030634211
IND395023AAA,IND394221AAA,Carting,afternoon,1,1,1.9090909090909092,21.0,11.0,1.0,10.0,2.234668335419274,2.2191646484512564
